,fish,cell_sugar,scp,greenhouse,seaweed,milk,meat,immediate_outdoor_crops_to_humans,new_stored_outdoor_crops_to_humans,stored_food
0,30.12326916582236,0.0,0.0,0.0,0.0,264.65594465917616,0.0,0.0,0.0,9620.776089159068
1,29.849421264041037,0.0,0.0,0.0,0.0,264.65594465917616,0.0,0.0,0.0,9621.050626070806
2,29.575573362259707,0.0,0.0,0.0,0.0,264.65594465917616,0.0,0.0,0.0,9621.324204572587
3,29.30172546047839,0.0,0.0,0.0,0.0,264.65594465917616,0.0,7724.559128212435,0.0,1897.038914956423
4,29.027877558697067,0.0,0.0,0.0,0.0,264.65594465917616,0.0,7724.809641346632,0.0,1897.062200532499
5,28.754029656915737,0.0,0.0,0.0,116.88149138804461,264.65594465917616,0.0,7608.182761994598,0.0,1897.0814839535014
6,28.48018175814675,0.0,0.0,0.0,629.99997922999,264.65594465917616,1897.4021276595745,5198.013651990559,0.0,1897.003855502061
7,28.206333856365415,0.0,0.0,0.0,629.99997922999,264.65594465917616,0.0,6978.670972587254,116.91001072291351,1897.1124495067593
8,27.9324859545841,932.7919383401329,0.0,100.82358191957127,629.99997922999,264.65594465917616,501.98845997973666,5560.275177021706,0.0,1897.0881119873573
9,27.658638052802775,932.7919383401329,0.0,177.045197504629,629.99997922999,264.65594465917616,1825.357852077001,4160.975380491064,0.0,1897.0707892837122
10,27.384790151021445,932.7919383401329,0.0,221.35395896568136,629.99997922999,263.197969938492,0.0,5943.638194796646,0.0,1897.1888119563846
11,27.11094224924012,1885.4305136662265,0.0,217.36329649236748,629.99997922999,261.7667682203804,0.0,4996.676269132869,0.0,1897.207886543683
12,27.11094224924012,1885.4305136662265,0.0,71.92589696631592,629.99997922999,260.36184786828755,1897.4021276595745,1388.407903626202,1857.7100870390652,1897.2063662637931
13,26.508476865923676,1885.4305136662265,0.0,85.82063256464212,629.99997922999,258.9827262736541,1897.4021276595745,1370.625405581138,1863.5137089542195,1897.2720840297563
14,25.90601148260723,1885.4305136662265,0.0,99.54802232871947,629.99997922999,245.61405671535908,1897.4021276595745,1352.848958338419,1881.4579972892063,1897.3480203384718
15,25.303546099290784,1885.4305136662265,370.4489867815918,113.10632386368923,629.99997922999,0.0,0.0,1335.2583586626135,3658.60587639311,1897.4021276595743
16,24.70108071597433,1885.4305136662265,370.4489867815918,126.49374854107144,629.99997922999,0.0,0.0,1317.6291793313067,3663.4500506585614,1897.4021276595743
17,24.09861533265789,1885.4305136662265,370.4489867815918,139.7084595827837,629.99997922999,0.0,0.0,1299.9999999999998,3668.466970618034,1897.4021276595743
18,23.496149949341444,1885.4305136662265,370.4489867815918,152.74857003768187,629.99997922999,0.0,0.0,1282.472137791287,3673.557244174265,1897.4021276595743
19,22.893684566024994,1885.4305136662265,370.4489867815918,165.6121406430107,629.99997922999,0.0,1897.4021276595745,1265.045592705167,1781.3205673758862,1897.4021276595743
20,22.291219182708545,1885.4305136662265,740.8979735631837,178.29717756250065,629.99997922999,0.0,0.0,1247.6190476190475,3313.6176291793317,1897.4021276595743
21,21.6887537993921,1885.4305136662265,1296.5714537355714,190.80162999212746,629.99997922999,0.0,0.0,1230.2938196555217,2763.3673758865243,1897.4021276595743
22,21.08628841607565,1885.4305136662265,1296.5714537355714,203.123387623759,629.99997922999,0.0,0.0,1213.0699088145896,2768.8720364741635,1897.4021276595743
23,20.483823032759208,1885.4305136662265,1296.5714537355714,215.2602779560411,629.99997922999,0.0,0.0,1195.8459979736576,2774.5614994934135,1897.4021276595743
24,20.483823032759208,1885.4305136662265,1296.5714537355714,227.2100634409036,629.99997922999,0.0,1897.4021276595745,1178.723404255319,882.3322087132726,1897.4021276595743
25,20.40166866312851,1885.4305136662265,1296.5714537355714,240.56222856214646,629.99997922999,0.0,0.0,1169.300911854103,2775.8868287740625,1897.4021276595743
26,20.31951429048548,1885.4305136662265,1667.0204405171637,253.91293360292633,629.99997922999,0.0,251.2556332320162,1159.9797365754812,2150.2347517730495,1897.4021276595743
27,20.23735992085478,1885.4305136662265,2037.469427298755,267.26217842279243,629.99997922999,0.0,0.0,1150.6585612968593,2027.0955420466057,1897.4021276595743
28,20.155205551224082,1885.4305136662265,2037.469427298755,280.60996288125966,629.99997922999,0.0,1897.4021276595745,1141.337386018237,125.74897669706185,1897.4021276595743
29,20.07305118159338,1885.4305136662265,2037.469427298755,293.956286837809,629.99997922999,0.0,0.0,1132.016210739615,2019.2081053698075,1897.4021276595743
30,19.990896808950353,1885.4305136662265,2037.469427298755,307.30115015188693,629.99997922999,0.0,0.0,1122.5937183383992,2015.3678824721376,1897.4021276595743
31,19.908742439319656,1885.4305136662265,2037.469427298755,320.6445526829057,629.99997922999,0.0,0.0,1113.272543059777,2011.4277608915907,1897.4021276595743
32,19.826588069688963,1885.4305136662265,2037.469427298755,333.98649429024323,629.99997922999,0.0,0.0,1103.9513677811549,2007.4891590678822,1897.4021276595743
33,19.744433700058263,1885.4305136662265,2407.9184140803472,347.3269748332432,629.99997922999,0.0,0.0,1094.6301925025327,1633.1030395136777,1897.4021276595743
34,19.66227932741523,1885.4305136662265,2778.3674008619387,360.66599417121483,629.99997922999,0.0,0.0,1085.3090172239108,1258.718338399189,1897.4021276595743
35,19.580124957784534,1885.4305136662265,2778.3674008619387,374.00355216343314,629.99997922999,0.0,0.0,1075.9878419452887,1254.7840932117522,1897.4021276595743
36,19.580124957784534,1885.4305136662265,2778.3674008619387,387.33964866913885,629.99997922999,0.0,0.0,1066.6666666666665,1250.7691995947314,1897.4021276595743
